               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 104,            0.013883,           0.0043746,           0.0065262,             0.98647,                   1,               0.995,             0.92257,            0.009372,           0.0018771,           0.0016775,           0.0021562,           0.0021562,           0.0021562
                 105,            0.013876,            0.004596,           0.0079749,             0.98439,                   1,               0.995,              0.9424,           0.0091955,           0.0018611,           0.0016158,             0.00208,             0.00208,             0.00208
                 106,            0.013522,           0.0045223,           0.0072083,             0.98164,                   1,               0.995,             0.92417,            0.010094,           0.0018353,           0.0016053,           0.0020038,           0.0020038,           0.0020038
                 107,             0.01346,             0.00429,           0.0066202,             0.98477,                   1,               0.995,              0.9479,           0.0094328,           0.0017562,           0.0015123,           0.0019277,           0.0019277,           0.0019277
                 108,            0.013703,           0.0044976,           0.0067028,              0.9791,                   1,               0.995,             0.94452,           0.0088494,           0.0019341,           0.0016773,           0.0018515,           0.0018515,           0.0018515
                 109,            0.013732,           0.0045028,           0.0074518,             0.98465,                   1,               0.995,             0.93345,             0.00888,           0.0017974,           0.0015044,           0.0017754,           0.0017754,           0.0017754
                 110,            0.012954,           0.0047677,           0.0060359,             0.98063,                   1,               0.995,             0.95059,           0.0085802,           0.0018366,            0.001422,           0.0016992,           0.0016992,           0.0016992
                 111,            0.013155,           0.0045489,           0.0066607,             0.98594,                   1,               0.995,             0.95221,            0.008828,           0.0017444,           0.0013619,           0.0016231,           0.0016231,           0.0016231
                 112,            0.012731,           0.0044303,           0.0069737,             0.98596,                   1,               0.995,              0.9532,            0.008408,           0.0017228,           0.0013218,           0.0015469,           0.0015469,           0.0015469
                 113,            0.012691,           0.0045071,           0.0057529,             0.98542,                   1,               0.995,             0.95317,           0.0082652,           0.0016886,           0.0012598,           0.0014708,           0.0014708,           0.0014708
                 114,             0.01244,           0.0044136,           0.0068225,             0.98391,                   1,               0.995,             0.94511,           0.0088485,           0.0018151,           0.0012344,           0.0013946,           0.0013946,           0.0013946
                 115,            0.012263,            0.004612,            0.005914,             0.98092,                   1,               0.995,              0.9489,            0.008765,           0.0019102,           0.0012237,           0.0013185,           0.0013185,           0.0013185
                 116,            0.012352,           0.0041309,           0.0062409,              0.9835,                   1,               0.995,              0.9524,           0.0085468,           0.0017958,           0.0012135,           0.0012423,           0.0012423,           0.0012423
